episodes,total reward,steps
133,0.0,10000
225,0.0,20000
412,107.0,30000
743,252.0,40000
1114,291.0,50000
1507,317.0,60000
1829,243.0,70000
2206,306.0,80000
2603,329.0,90000
2968,281.0,100000
