steps,episodes,total reward
10000,127,4.0
20000,271,68.0
30000,605,235.0
40000,1012,327.0
50000,1420,345.0
60000,1828,346.0
70000,2245,337.0
80000,2662,329.0
90000,3082,354.0
100000,3507,346.0
