steps,total reward,episodes
10000,23.0,166
20000,58.0,378
30000,84.0,625
40000,96.0,900
50000,92.0,1141
60000,106.0,1399
70000,113.0,1639
80000,133.0,1948
90000,143.0,2246
100000,103.0,2470
