total reward,episodes,steps
21.0,218,10000
41.0,510,20000
70.0,885,30000
72.0,1246,40000
84.0,1612,50000
107.0,1958,60000
78.0,2268,70000
112.0,2669,80000
89.0,3027,90000
68.0,3339,100000
