episodes,steps,total reward
1,10000,1.0
2,20000,1.0
4,30000,2.0
4,40000,0.0
4,50000,0.0
5,60000,1.0
5,70000,0.0
6,80000,1.0
6,90000,0.0
7,100000,1.0
7,110000,0.0
7,120000,0.0
9,130000,2.0
9,140000,0.0
10,150000,1.0
12,160000,2.0
13,170000,1.0
14,180000,1.0
15,190000,1.0
16,200000,1.0
17,210000,1.0
18,220000,1.0
19,230000,1.0
19,240000,0.0
21,250000,2.0
22,260000,1.0
23,270000,1.0
23,280000,0.0
24,290000,1.0
26,300000,2.0
27,310000,1.0
28,320000,1.0
29,330000,1.0
30,340000,1.0
32,350000,2.0
32,360000,0.0
34,370000,2.0
35,380000,1.0
35,390000,0.0
38,400000,3.0
40,410000,2.0
42,420000,2.0
45,430000,3.0
47,440000,2.0
51,450000,4.0
53,460000,2.0
56,470000,3.0
61,480000,5.0
64,490000,3.0
67,500000,3.0
72,510000,5.0
76,520000,4.0
79,530000,3.0
86,540000,7.0
93,550000,7.0
99,560000,6.0
108,570000,9.0
113,580000,5.0
126,590000,13.0
138,600000,12.0
152,610000,14.0
175,620000,23.0
198,630000,23.0
226,640000,28.0
266,650000,40.0
313,660000,47.0
372,670000,59.0
467,680000,95.0
603,690000,136.0
724,700000,121.0
850,710000,126.0
1001,720000,151.0
1138,730000,137.0
1277,740000,139.0
1418,750000,141.0
1564,760000,146.0
1714,770000,150.0
1872,780000,158.0
2031,790000,159.0
2189,800000,158.0
2349,810000,160.0
2503,820000,154.0
2660,830000,157.0
2820,840000,160.0
2979,850000,159.0
3138,860000,159.0
3298,870000,160.0
3457,880000,159.0
3616,890000,159.0
3773,900000,157.0
3925,910000,152.0
4084,920000,159.0
4233,930000,149.0
4380,940000,147.0
4540,950000,160.0
4700,960000,160.0
4859,970000,159.0
5018,980000,159.0
5175,990000,157.0
5333,1000000,158.0
5489,1010000,156.0
5648,1020000,159.0
5808,1030000,160.0
5960,1040000,152.0
6117,1050000,157.0
6274,1060000,157.0
6432,1070000,158.0
6587,1080000,155.0
6746,1090000,159.0
6899,1100000,154.0
7059,1110000,159.0
7214,1120000,155.0
7373,1130000,159.0
7524,1140000,151.0
7682,1150000,158.0
7842,1160000,160.0
8002,1170000,160.0
8161,1180000,159.0
8321,1190000,160.0
8481,1200000,160.0
8638,1210000,157.0
8797,1220000,159.0
8956,1230000,159.0
9116,1240000,160.0
9272,1250000,156.0
9427,1260000,155.0
9579,1270000,152.0
9740,1280000,161.0
9894,1290000,154.0
10052,1300000,158.0
10209,1310000,157.0
10368,1320000,159.0
10522,1330000,154.0
10681,1340000,159.0
10839,1350000,158.0
10997,1360000,158.0
11156,1370000,159.0
11313,1380000,157.0
11471,1390000,158.0
11630,1400000,159.0
11790,1410000,160.0
11949,1420000,159.0
12107,1430000,158.0
12266,1440000,159.0
12415,1450000,149.0
12573,1460000,158.0
12733,1470000,160.0
12891,1480000,158.0
13050,1490000,159.0
13209,1500000,159.0
13368,1510000,159.0
13527,1520000,159.0
13686,1530000,159.0
13846,1540000,160.0
14006,1550000,160.0
14164,1560000,158.0
14323,1570000,159.0
14482,1580000,159.0
14642,1590000,160.0
14789,1600000,147.0
14948,1610000,159.0
15107,1620000,159.0
15261,1630000,154.0
15421,1640000,160.0
15580,1650000,159.0
15739,1660000,159.0
15886,1670000,147.0
16045,1680000,159.0
16205,1690000,160.0
16364,1700000,159.0
16523,1710000,159.0
16683,1720000,160.0
16839,1730000,156.0
16996,1740000,157.0
17156,1750000,160.0
17315,1760000,159.0
17474,1770000,159.0
17634,1780000,160.0
17794,1790000,160.0
17954,1800000,160.0
18113,1810000,159.0
18272,1820000,159.0
18433,1830000,161.0
18593,1840000,160.0
18752,1850000,159.0
18909,1860000,157.0
19067,1870000,158.0
19220,1880000,153.0
19380,1890000,160.0
19539,1900000,159.0
19698,1910000,159.0
19858,1920000,160.0
20015,1930000,157.0
20173,1940000,158.0
20332,1950000,159.0
20493,1960000,161.0
20646,1970000,153.0
20805,1980000,159.0
20964,1990000,159.0
21119,2000000,155.0
