steps,episodes,total reward
10000,171,38.0
20000,363,55.0
30000,595,72.0
40000,904,100.0
50000,1302,145.0
60000,1653,124.0
70000,1932,94.0
80000,2329,132.0
90000,2684,122.0
100000,3065,133.0
