episodes,steps,total reward
155,10000,1.0
319,20000,2.0
478,30000,3.0
655,40000,7.0
792,50000,4.0
951,60000,11.0
1102,70000,16.0
1243,80000,16.0
1393,90000,18.0
1534,100000,15.0
