steps,episodes,total reward
10000,199,27.0
20000,342,38.0
30000,456,42.0
40000,602,61.0
50000,766,68.0
60000,921,72.0
70000,1085,80.0
80000,1278,104.0
90000,1462,100.0
100000,1643,98.0
