steps,total reward,episodes
10000,0.0,189
20000,0.0,331
30000,0.0,462
40000,0.0,602
50000,9.0,728
60000,3.0,844
70000,6.0,945
80000,7.0,1061
90000,5.0,1170
100000,6.0,1281
