steps,episodes,total reward
10000,206,19.0
20000,464,52.0
30000,729,50.0
40000,1022,67.0
50000,1348,98.0
60000,1674,100.0
70000,1948,82.0
80000,2205,82.0
90000,2491,83.0
100000,2819,118.0
