total reward,steps,episodes
26.0,10000,167
37.0,20000,315
39.0,30000,465
60.0,40000,636
65.0,50000,853
68.0,60000,1061
74.0,70000,1245
102.0,80000,1500
111.0,90000,1752
165.0,100000,2038
