episodes,total reward,steps
141,36.0,10000
403,139.0,20000
728,194.0,30000
1057,190.0,40000
1348,191.0,50000
1665,205.0,60000
1984,206.0,70000
2279,178.0,80000
2617,231.0,90000
2908,177.0,100000
