episodes,total reward,steps
268,3.0,10000
423,10.0,20000
562,15.0,30000
696,12.0,40000
846,28.0,50000
994,26.0,60000
1152,23.0,70000
1291,42.0,80000
1474,60.0,90000
1657,80.0,100000
