episodes,steps,total reward
150,10000,38.0
326,20000,57.0
515,30000,59.0
736,40000,88.0
991,50000,76.0
1217,60000,72.0
1392,70000,55.0
1608,80000,82.0
1831,90000,85.0
2007,100000,60.0
