steps,total reward,episodes
10000,42.0,174
20000,31.0,306
30000,48.0,452
40000,33.0,603
50000,41.0,769
60000,49.0,929
70000,50.0,1119
80000,62.0,1321
90000,59.0,1518
100000,67.0,1752
