steps,total reward,episodes
10000,1.0,1
20000,0.0,1
30000,1.0,2
40000,0.0,2
50000,0.0,2
60000,0.0,2
70000,1.0,3
80000,0.0,3
90000,1.0,4
100000,1.0,5
110000,3.0,8
120000,5.0,13
130000,5.0,18
140000,6.0,24
150000,7.0,31
160000,8.0,39
170000,13.0,52
180000,13.0,65
190000,18.0,83
200000,17.0,100
210000,15.0,115
220000,29.0,144
230000,26.0,170
240000,33.0,203
250000,29.0,232
260000,37.0,269
270000,43.0,312
280000,42.0,354
290000,35.0,389
300000,49.0,438
310000,56.0,494
320000,55.0,549
330000,55.0,604
340000,61.0,665
350000,67.0,732
360000,77.0,808
370000,83.0,892
380000,78.0,970
390000,76.0,1046
400000,81.0,1127
410000,67.0,1194
420000,74.0,1268
430000,84.0,1352
440000,85.0,1437
450000,87.0,1524
460000,94.0,1618
470000,88.0,1706
480000,90.0,1796
490000,88.0,1884
500000,88.0,1972
510000,92.0,2064
520000,93.0,2157
530000,88.0,2245
540000,89.0,2334
550000,95.0,2429
560000,93.0,2522
570000,94.0,2616
580000,90.0,2706
590000,89.0,2795
600000,96.0,2890
610000,90.0,2981
620000,95.0,3076
630000,89.0,3165
640000,94.0,3259
650000,90.0,3349
660000,90.0,3439
670000,89.0,3528
680000,92.0,3620
690000,90.0,3710
700000,93.0,3803
710000,94.0,3897
720000,92.0,3989
730000,92.0,4081
740000,93.0,4174
750000,94.0,4268
760000,89.0,4357
770000,94.0,4451
780000,92.0,4543
790000,94.0,4637
800000,88.0,4725
810000,92.0,4817
820000,92.0,4909
830000,92.0,5001
840000,93.0,5094
850000,91.0,5185
860000,93.0,5278
870000,91.0,5369
880000,95.0,5464
890000,94.0,5558
900000,90.0,5648
910000,95.0,5743
920000,93.0,5836
930000,94.0,5930
940000,92.0,6022
950000,93.0,6115
960000,94.0,6209
970000,92.0,6301
980000,95.0,6396
990000,95.0,6491
1000000,93.0,6584
1010000,94.0,6678
1020000,88.0,6766
1030000,93.0,6859
1040000,94.0,6953
1050000,94.0,7047
1060000,94.0,7141
1070000,93.0,7234
1080000,94.0,7328
1090000,92.0,7420
1100000,95.0,7515
1110000,95.0,7610
1120000,93.0,7703
1130000,94.0,7797
1140000,94.0,7891
1150000,93.0,7984
1160000,95.0,8079
1170000,95.0,8174
1180000,95.0,8269
1190000,95.0,8364
1200000,93.0,8457
1210000,93.0,8550
1220000,95.0,8645
1230000,92.0,8737
1240000,94.0,8831
1250000,92.0,8923
1260000,91.0,9014
1270000,94.0,9108
1280000,94.0,9202
1290000,95.0,9297
1300000,92.0,9389
1310000,95.0,9484
1320000,93.0,9577
1330000,94.0,9671
1340000,96.0,9767
1350000,92.0,9859
1360000,94.0,9953
1370000,94.0,10047
1380000,93.0,10140
1390000,94.0,10234
1400000,92.0,10326
1410000,94.0,10420
1420000,95.0,10515
1430000,97.0,10612
1440000,92.0,10704
1450000,94.0,10798
1460000,89.0,10887
1470000,95.0,10982
1480000,95.0,11077
1490000,96.0,11173
1500000,94.0,11267
1510000,94.0,11361
1520000,94.0,11455
1530000,94.0,11549
1540000,95.0,11644
1550000,95.0,11739
1560000,94.0,11833
1570000,96.0,11929
1580000,94.0,12023
1590000,95.0,12118
1600000,95.0,12213
1610000,93.0,12306
1620000,93.0,12399
1630000,95.0,12494
1640000,95.0,12589
1650000,93.0,12682
1660000,94.0,12776
1670000,94.0,12870
1680000,94.0,12964
1690000,94.0,13058
1700000,94.0,13152
1710000,93.0,13245
1720000,93.0,13338
1730000,95.0,13433
1740000,94.0,13527
1750000,93.0,13620
1760000,95.0,13715
1770000,95.0,13810
1780000,95.0,13905
1790000,94.0,13999
1800000,94.0,14093
1810000,94.0,14187
1820000,95.0,14282
1830000,95.0,14377
1840000,96.0,14473
1850000,92.0,14565
1860000,94.0,14659
1870000,94.0,14753
1880000,95.0,14848
1890000,94.0,14942
1900000,95.0,15037
1910000,95.0,15132
1920000,96.0,15228
1930000,93.0,15321
1940000,95.0,15416
1950000,95.0,15511
1960000,94.0,15605
1970000,95.0,15700
1980000,93.0,15793
1990000,94.0,15887
2000000,94.0,15981
