total reward,episodes,steps
2.0,132,10000
63.0,289,20000
176.0,532,30000
322.0,927,40000
338.0,1361,50000
337.0,1768,60000
344.0,2179,70000
344.0,2604,80000
338.0,3028,90000
344.0,3439,100000
