steps,total reward,episodes
10000,2.0,81
20000,2.0,145
30000,105.0,303
40000,325.0,722
50000,360.0,1166
60000,364.0,1615
70000,361.0,2068
80000,365.0,2515
90000,368.0,2978
100000,360.0,3430
