steps,total reward,episodes
10000,51.0,163
20000,82.0,390
30000,110.0,670
40000,180.0,977
50000,201.0,1313
60000,170.0,1608
70000,194.0,1916
80000,179.0,2223
90000,206.0,2535
100000,193.0,2857
