steps,episodes,total reward
10000,138,5.0
20000,277,52.0
30000,505,153.0
40000,920,336.0
50000,1340,365.0
60000,1763,336.0
70000,2177,342.0
80000,2596,348.0
90000,3024,360.0
100000,3423,332.0
