steps,episodes,total reward
10000,136,0.0
20000,235,5.0
30000,388,80.0
40000,688,226.0
50000,1009,230.0
60000,1324,239.0
70000,1637,223.0
80000,1952,248.0
90000,2274,231.0
100000,2594,237.0
