total reward,steps,episodes
30.0,10000,140
65.0,20000,318
93.0,30000,541
128.0,40000,769
128.0,50000,1000
143.0,60000,1254
145.0,70000,1518
134.0,80000,1772
159.0,90000,2026
155.0,100000,2304
