total reward,episodes,steps
22.0,170,10000
35.0,278,20000
35.0,397,30000
33.0,517,40000
63.0,699,50000
103.0,928,60000
83.0,1104,70000
162.0,1394,80000
169.0,1691,90000
113.0,1933,100000
