steps,total reward,episodes
10000,18.519999999999996,168
20000,27.049999999999933,291
30000,19.329999999999988,378
40000,19.37999999999999,460
50000,28.39999999999996,549
60000,30.259999999999966,654
70000,32.36999999999996,750
80000,43.200000000000024,874
90000,45.39000000000001,981
100000,42.26999999999998,1097
