total reward,steps,episodes
43.0,10000,208
51.0,20000,372
35.0,30000,513
48.0,40000,661
54.0,50000,823
44.0,60000,978
59.0,70000,1134
38.0,80000,1269
54.0,90000,1428
60.0,100000,1595
