episodes,steps,total reward
89,10000,8.0
320,20000,140.0
691,30000,261.0
1043,40000,257.0
1394,50000,260.0
1757,60000,256.0
2111,70000,262.0
2481,80000,265.0
2833,90000,275.0
3198,100000,263.0
