steps,total reward,episodes
10000,24.0,184
20000,32.0,319
30000,36.0,433
40000,57.0,574
50000,63.0,712
60000,82.0,892
70000,97.0,1065
80000,90.0,1226
90000,114.0,1429
100000,90.0,1607
