total reward,steps,episodes
13.0,10000,87
161.0,20000,314
246.0,30000,658
265.0,40000,1015
262.0,50000,1378
264.0,60000,1729
256.0,70000,2088
259.0,80000,2436
267.0,90000,2792
256.0,100000,3152
