steps,total reward,episodes
10000,15.0,127
20000,21.0,266
30000,30.0,437
40000,39.0,587
50000,52.0,763
60000,68.0,946
70000,71.0,1119
80000,114.0,1340
90000,64.0,1496
100000,93.0,1710
