steps,episodes,total reward
10000,144,37.0
20000,418,145.0
30000,725,189.0
40000,1077,206.0
50000,1340,167.0
60000,1636,183.0
70000,1960,197.0
80000,2232,156.0
90000,2527,194.0
100000,2872,218.0
