steps,total reward,episodes
10000,8.0,129
20000,29.0,232
30000,145.0,444
40000,313.0,828
50000,330.0,1240
60000,338.0,1656
70000,340.0,2078
80000,339.0,2509
90000,350.0,2939
100000,341.0,3359
