steps,total reward,episodes
10000,42.0,162
20000,55.0,361
30000,56.0,600
40000,81.0,859
50000,108.0,1197
60000,122.0,1552
70000,103.0,1908
80000,112.0,2263
90000,117.0,2609
100000,89.0,2903
