episodes,total reward,steps
124,0.0,10000
190,0.0,20000
294,0.0,30000
466,81.0,40000
684,141.0,50000
919,166.0,60000
1169,160.0,70000
1412,171.0,80000
1664,179.0,90000
1892,159.0,100000
