total reward,episodes,steps
7.0,265,10000
17.0,500,20000
11.0,714,30000
11.0,953,40000
3.0,1128,50000
15.0,1316,60000
5.0,1535,70000
12.0,1741,80000
7.0,1948,90000
5.0,2178,100000
