total reward,episodes,steps
22.0,158,10000
43.0,306,20000
59.0,470,30000
107.0,693,40000
121.0,937,50000
130.0,1169,60000
119.0,1396,70000
188.0,1691,80000
159.0,1962,90000
211.0,2267,100000
