total reward,episodes,steps
-0.8000000000000005,80,10000
-0.5000000000000002,130,20000
-0.5100000000000002,181,30000
-0.45000000000000023,226,40000
-0.46000000000000024,272,50000
-0.4400000000000002,316,60000
-0.2800000000000001,344,70000
-0.6300000000000003,407,80000
-0.6400000000000003,471,90000
-0.4300000000000002,514,100000
