episodes,total reward,steps
86,3.0,10000
173,11.0,20000
283,19.0,30000
465,76.0,40000
691,130.0,50000
982,157.0,60000
1293,212.0,70000
1564,166.0,80000
1836,155.0,90000
2128,167.0,100000
