episodes,steps,total reward
203,10000,22.0
365,20000,50.0
505,30000,41.0
645,40000,57.0
777,50000,56.0
913,60000,48.0
1077,70000,64.0
1239,80000,80.0
1453,90000,114.0
1702,100000,144.0
