episodes,total reward,steps
168,43.0,10000
330,53.0,20000
612,91.0,30000
943,123.0,40000
1312,118.0,50000
1638,112.0,60000
1999,116.0,70000
2313,98.0,80000
2710,122.0,90000
3043,98.0,100000
