steps,episodes,total reward
10000,176,23.0
20000,300,29.0
30000,377,27.0
40000,458,32.0
50000,546,34.0
60000,648,37.0
70000,757,47.0
80000,876,59.0
90000,1021,70.0
100000,1158,87.0
