episodes,steps,total reward
273,10000,15.0
446,20000,14.0
662,30000,22.0
873,40000,19.0
1054,50000,14.0
1241,60000,23.0
1435,70000,27.0
1618,80000,37.0
1805,90000,27.0
2032,100000,45.0
