episodes,steps,total reward
181,10000,5.0
396,20000,15.0
686,30000,13.0
958,40000,16.0
1271,50000,26.0
1535,60000,55.0
1765,70000,41.0
2069,80000,64.0
2417,90000,85.0
2734,100000,59.0
