steps,total reward,episodes
10000,1.0,130
20000,5.0,229
30000,87.0,411
40000,224.0,713
50000,245.0,1038
60000,239.0,1363
70000,248.0,1686
80000,236.0,2008
90000,232.0,2318
100000,241.0,2645
