steps,total reward,episodes
10000,43.0,158
20000,45.0,340
30000,56.0,523
40000,56.0,726
50000,55.0,931
60000,60.0,1151
70000,54.0,1351
80000,73.0,1550
90000,85.0,1798
100000,78.0,2032
