episodes,total reward,steps
170,25.0,10000
369,35.0,20000
587,27.0,30000
835,48.0,40000
1043,28.0,50000
1286,42.0,60000
1508,44.0,70000
1772,42.0,80000
1993,42.0,90000
2258,52.0,100000
