episodes,steps,total reward
207,10000,47.0
364,20000,39.0
501,30000,37.0
642,40000,40.0
797,50000,42.0
940,60000,45.0
1093,70000,45.0
1262,80000,53.0
1423,90000,62.0
1598,100000,68.0
