episodes,steps,total reward
246,10000,6.0
465,20000,9.0
641,30000,6.0
872,40000,8.0
1072,50000,6.0
1279,60000,11.0
1451,70000,8.0
1652,80000,7.0
1841,90000,11.0
2074,100000,9.0
