total reward,steps,episodes
-1.0900000000000007,10000,109
-2.1799999999999975,20000,327
-3.709999999999965,30000,698
-3.759999999999964,40000,1074
-3.649999999999966,50000,1439
-3.609999999999967,60000,1800
-3.659999999999966,70000,2166
-3.5399999999999685,80000,2520
-3.6399999999999664,90000,2884
-3.6399999999999664,100000,3248
