episodes,steps,total reward
156,10000,13.0
293,20000,37.0
446,30000,64.0
618,40000,65.0
893,50000,150.0
1131,60000,99.0
1435,70000,205.0
1705,80000,153.0
1993,90000,175.0
2350,100000,254.0
