steps,total reward,episodes
10000,1.0,247
20000,7.0,387
30000,16.0,509
40000,11.0,652
50000,13.0,765
60000,22.0,893
70000,31.0,1031
80000,38.0,1170
90000,55.0,1326
100000,110.0,1537
