total reward,episodes,steps
3.0,130,10000
148.0,370,20000
261.0,722,30000
295.0,1108,40000
251.0,1431,50000
253.0,1758,60000
294.0,2131,70000
275.0,2479,80000
295.0,2850,90000
322.0,3250,100000
