episodes,steps,total reward
192,10000,63.0
417,20000,82.0
691,30000,96.0
992,40000,110.0
1288,50000,115.0
1614,60000,105.0
1846,70000,72.0
2133,80000,85.0
2400,90000,89.0
2648,100000,94.0
