total reward,steps,episodes
26.0,10000,230
28.0,20000,461
51.0,30000,781
101.0,40000,1200
106.0,50000,1648
82.0,60000,2019
88.0,70000,2445
89.0,80000,2890
95.0,90000,3392
99.0,100000,3888
