steps,total reward,episodes
10000,7.0,156
20000,17.0,372
30000,17.0,571
40000,9.0,735
50000,19.0,903
60000,21.0,1078
70000,29.0,1269
80000,33.0,1509
90000,34.0,1718
100000,33.0,1935
