episodes,total reward,steps
153,44.0,10000
312,45.0,20000
473,51.0,30000
685,73.0,40000
858,52.0,50000
1051,64.0,60000
1253,65.0,70000
1451,68.0,80000
1670,72.0,90000
1856,62.0,100000
