episodes,steps,total reward
150,10000,23.0
263,20000,33.0
396,30000,31.0
541,40000,34.0
707,50000,61.0
899,60000,82.0
1083,70000,51.0
1323,80000,141.0
1559,90000,109.0
1874,100000,176.0
