total reward,steps,episodes
10.0,10000,195
13.0,20000,392
16.0,30000,680
52.0,40000,975
50.0,50000,1299
37.0,60000,1606
44.0,70000,1878
66.0,80000,2153
76.0,90000,2470
51.0,100000,2759
