episodes,steps,total reward
145,10000,13.0
334,20000,64.0
595,30000,125.0
850,40000,135.0
1109,50000,136.0
1356,60000,124.0
1649,70000,160.0
1878,80000,107.0
2156,90000,171.0
2461,100000,163.0
