episodes,steps,total reward
136,10000,8.0
379,20000,153.0
731,30000,265.0
1103,40000,293.0
1420,50000,243.0
1803,60000,311.0
2203,70000,310.0
2566,80000,282.0
2950,90000,309.0
3285,100000,266.0
