steps,episodes,total reward
10000,226,0.0
20000,379,4.0
30000,508,12.0
40000,652,26.0
50000,831,55.0
60000,1020,81.0
70000,1235,107.0
80000,1480,126.0
90000,1720,135.0
100000,1969,136.0
