total reward,episodes,steps
3.0,87,10000
4.0,154,20000
101.0,313,30000
346.0,744,40000
360.0,1184,50000
372.0,1634,60000
360.0,2079,70000
360.0,2528,80000
365.0,2988,90000
361.0,3452,100000
