steps,episodes,total reward
10000,276,13.0
20000,480,15.0
30000,683,11.0
40000,907,23.0
50000,1097,33.0
60000,1302,29.0
70000,1516,27.0
80000,1726,27.0
90000,1934,26.0
100000,2142,34.0
