episodes,total reward,steps
165,48.0,10000
397,74.0,20000
684,100.0,30000
1034,114.0,40000
1400,158.0,50000
1730,101.0,60000
2104,123.0,70000
2409,120.0,80000
2716,104.0,90000
3078,120.0,100000
