total reward,steps,episodes
3.0,10000,85
3.0,20000,135
95.0,30000,287
334.0,40000,706
370.0,50000,1177
374.0,60000,1629
367.0,70000,2075
367.0,80000,2529
367.0,90000,2998
361.0,100000,3456
